,,,,,,,,,,,,,,,,,
No.,Release,2023 Ranking,Course ID,Course Name,Category,Content Type,Content Provider,Instructor,Course's Description,The Learner,Total Time,Test,Key Takeaways,Link to Cover,Link to Banner,Link to Brochure,Link to Instructor Profile
1,2019,590,CBS232018P,การบริหารต้นทุนฐานกิจกรรม (Activity Based Management),Business Function,Online Course,Chulalongkorn Business School,รองศาสตราจารย์ ดร.ดนุชา คุณพนิชกิจ,"     มิติใหม่ของการบัญชีที่จะช่วยในการลดต้นทุนในองค์กรของท่าน เป็นประโยชน์แก่องค์กรในทุกรูปแบบ ไม่ว่าจะเป็นภาครัฐ รัฐวิสาหกิจ หรือเอกชน มีจุดมุ่งหมายเพื่อสร้างข้อได้เปรียบในการแข่งขันระยะยาว เพื่อให้ต้นทุนขององค์กรต่ำกว่าค่าเฉลี่ยของอุตสาหกรรม 
      การบริหารต้นทุนฐานกิจกรรม (Activity Based Management) จะแบ่งได้เป็น 2 มิติด้วยกัน คือมิติด้านต้นทุนโดยมองตั้งแต่โครงสร้างขององค์กร ดูตัวผลักดันต้นทุนขององค์กร (Organizational Cost Driver)  และความเป็นไปได้ในการลดต้นทุนขององค์กร มิติที่2 เทคนิคการลดต้นทุน เป็นกระบวนการวิเคราะห์ว่ากิจกรรมที่ท่านทำเพิ่มคุณค่าให้กับองค์กรหรือไม่",ผู้ที่ต้องการศึกษามิติใหม่ของการบริหารต้นทุน เพื่อสร้างข้อได้เปรียบในการแข่งขันระยะยาวให้แก่องค์กร,2:44:01,N,,https://drive.google.com/file/d/1QQygCh3OQ_UJUHQQ7CQQiIyipuMcBoP8/view?usp=drive_link,-,https://drive.google.com/file/d/1N0slFyBoOtxRnfGUVqTXNVIG7ZvmirD2/view?usp=drive_link,https://drive.google.com/file/d/1N0slFyBoOtxRnfGUVqTXNVIG7ZvmirD2/view?usp=drive_link
2,2019,424,CBS272019P,ตรวจสุขภาพกิจการผ่านงบการเงิน (Business Analysis through Financial Statements),Business Function,Online Course,Chulalongkorn Business School,ผศ.ดร.สันสกฤต วิจิตรเลขการ,"     วิชานี้เปรียบได้กับการตรวจสุขภาพร่างกาย ทุกปี ทุกท่านต้องไปพบแพทย์เพื่อตรวจสุขภาพประจำปี บริษัทก็เช่นเดียวกัน ต้องหมั่นมีการตรวจสอบสุขภาพว่ายังแข็งแรงอยู่หรือไม่ งบการเงิน เปรียบได้กับแฟ้มประวัติ ซึ่งจะบันทึกสุขภาพการเงินขององค์กรของท่านไว้
     วิชานี้จะแนะนำให้ท่านเข้าใจประเภทของงบการเงิน และวิธีตรวจสุขภาพทางการเงินขององค์กรเบื้องต้นอย่างง่าย ๆ 

ตอนที่ 1: ข้อมูลที่ใช้ในการตรวจสุขภาพ
ตอนที่ 2: รหัสสุขภาพกับงบการเงิน -- งบการเงิน สะท้อนสุขภาพขององค์กรอย่างไร ทำความเข้าใจงบแต่ละประเภท ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุน กำไรและกระแสเงินสดจากการดำเนินงาน
ตอนที่ 3: ตรวจสุขภาพกิจการเบื้องต้น -- หลังจากทำความเข้าใจรหัสสุขภาพทางการเงินทั้ง 5 ตัวแล้ว ลองตรวจสุขภาพขององค์กร ",ผู้ที่ไม่เคยมีพื้นฐานทางบัญชีมาก่อนก็สามารถเรียนได้,1:10:57,N,,https://drive.google.com/file/d/16juqphJ3FMG9ojoxkiuo8sSH05EcJQZh/view?usp=drive_link,-,-,-
3,2019,89,CBS032018P,การวิเคราะห์ข้อมูลเพื่อการตัดสินใจ (Data Analytic in Business Decision),Data Science,Online Course,Chulalongkorn Business School,อาจารย์ ดร. วัชรา จันทาทับ,     ในปัจจุบันธุรกิจทั่วโลกต่างให้ความสำคัญกับเรื่องของข้อมูลและการวิเคราะห์ข้อมูลอย่างมาก เนื่องจากจะทำให้ธุรกิจนั้นเข้าใจอดีต รู้ในสิ่งที่จะเกิดขึ้นในปัจจุบัน รวมถึงพยากรณ์สิ่งที่จะเกิดขึ้นในอนาคตได้อย่างแม่นยำมากยิ่งขึ้น หลักสูตรนี้จะแสดงให้เห็นถึง ตัวอย่างการวิเคราะห์ข้อมูลในธุรกิจที่หลากหลาย และภาพรวมของการวิเคราะห์ข้อมูล อาทิ Big Data และ Digital Data เพื่อให้เข้าใจเนื้อหาในส่วนของการจัดการข้อมูลต่างๆในองค์กร และสามารถบริหารจัดการข้อมูลได้ที่ดีมากยิ่งขึ้น รวมถึงเครื่องมือซอฟต์แวร์ต่างๆที่ใช้ในกาวิเคราะห์ข้อมูล,ผู้ที่ต้องการเข้าใจเรื่องทักษะในการวิเคราะห์ข้อมูล เพื่อนำไปใช้ในการทำงาน ช่วยให้บริษัทมีมุมมองก้าวไปข้างหน้า และวิเคราะห์ความต้องการข้อลูกค้า,3:12:08,Y,,https://drive.google.com/file/d/12J__X1aMZzNfPRCMuMcR-5uiGCV0JeAD/view?usp=drive_link,-,https://drive.google.com/file/d/1Ouqs4-eSrWmpui8gNzKyKZHwC5IcfWgp/view?usp=drive_link,https://drive.google.com/file/d/1Ouqs4-eSrWmpui8gNzKyKZHwC5IcfWgp/view?usp=drive_link
4,2019,454,CBS092018P,เทคโนโลยีสารสนเทศเพื่อการจัดการ (Management Information System),Digital Literacy,Online Course,Chulalongkorn Business School,รองศาสตราจารย ดร. มงคลชัย วิริยะพินิจ  ,     ศึกษาเกี่ยวกับเทคโนโลยีสารสนเทศ เพื่อนำมาใช้ในการบริหารจัดการธุรกิจ โดยหลักสูตรนี้จะอธิบายถึงความสำคัญ ความหมายและหน้าที่ของเทคโนโลยีสารสนเทศเพื่อการจัดการ และการนำไปใช้ในองค์กร รวมถึงความรู้พื้นฐานในการทำงานของระบบ Enterprise Resource Planning (ERP) และการทำงานของระบบสนับสนุนการทำงานร่วมกันและการเป็นทีม รวมถึงคุณลักษณะของพาณิชย์อิเล็กทอนิค และการนำไปใช้ในธุรกิจ,"ผู้ที่ต้องการศึกษาประโยชน์ของการใช้เทคโนโยลีสารสนเทศในธุรกิจ เพื่อเพิ่มกำไร และโอกาสใหม่ ๆ ในการทำธุรกิจขององค์กร
",3:33:15,Y,,https://drive.google.com/file/d/14fga3BSUA0V_1llB7eO-WjstzSXKeXxd/view?usp=drive_link,-,https://drive.google.com/file/d/1wLr7T_Hemxeu-7d3vwCt_KOM1X0GQ6Ox/view?usp=drive_link,https://drive.google.com/file/d/1wLr7T_Hemxeu-7d3vwCt_KOM1X0GQ6Ox/view?usp=drive_link
5,2019,,CBS222018P,วางแผนการลงทุนในหุ้นด้วย Excel (Stock Investment Planning by Excel),Digital Literacy,Online Course,Chulalongkorn Business School,รองศาสตราจารย์ ดร.สุพล ดุรงค์วัฒนา,     หลักสูตรนี้ศึกษาถึงการลงทุนซื้อขายหุ้นในตลาดหุ้น ตั้งแต่บทบาทหน้าที่ของตลาดหุ้น การจำแนกหุ้นและผู้ลงทุนได้กี่ประเภท ตลอดจนซื้อขายหุ้นกันอย่างไรและผลตอบแทนจะเป็นในรูปแบบไหน วิเคราะห์ถึงความเสี่ยงของการลงทุนมีมากน้อยเพียงใด และสามารถทำ Demo จาก Excel ในการสร้าง Portfolio ในการลงทุนในหุ้นได้ด้วยตนเอง,ผู้ที่ต้องการศึกษาถึงการวางแผนการลงทุนในหุ้น และสามารถวิเคราะห์ถึงความเสี่ยงได้,2:11:56,N,,-,-,-,-
6,2019,94,CBC252019P,การหาโอกาสทางธุรกิจจากอภิมหาข้อมูล (Sensing Opportunity from Big Data),Data Science,Online Course,Chulalongkorn Business School,อาจารย์ดร.นัท กุลวานิช,"คงปฏิเสธไม่ได้ว่าในทุกวันนี้เราอยู่ใน ""ยุคอภิมหาข้อมูล"" หรือยุค Big data ซึ่งจากการสำรวจพบว่าข้อมูลกว่า 60% ในปัจจุบันนั้นเพิ่งจะเกิดขึ้นมาในช่วง 4 ปีนี้เอง ข้อมูลนั้นเกิดขึ้นตลอดเวลาและเกี่ยวข้องกับชีวิตประจำวันของทุกท่าน แต่การที่เรามีข้อมูลเยอะแยะแบบนี้แล้ว เราจะทำอย่างไรถึงจะใช้ประโยชน์ในเชิงธุรกิจกับข้อมูลเหล่านี้ได้อย่างสูงสุด
ทำความเข้าใจง่าย ๆ ว่า Big Data คืออะไร
- Big Data, Data mining คืออะไร
- ตัวอย่างบริษัทที่ใช้ Big Data เช่น Netflix
- การทำ Cluster Analysis ด้วยโปรแกรม SPSS
- ตัวอย่างการประยุกต์ข้อมูลที่วิเคราะห์ เข้ากับธุรกิจ เช่น ธุรกิจกู้ยืมเงิน ธุรกิจค้าปลีก",ผู้ที่ต้องการศึกษาหาโอกาสทางธุรกิจจากอภิมหาข้อมูล หรือ Big data และจะเป็นประโยชน์หากผู้เรียนมีโปรแกรมคำนวณสถิติ (SPSS) ผู้ที่ไม่เคยมีพื้นบานทางด้าน Big data มาก่อนก็สามารถเรียนได้,0:59:09,N,,https://drive.google.com/file/d/19KQlnMohe-VMNbxG4FpuYpKU2axsRI6s/view?usp=drive_link,-,https://drive.google.com/file/d/11bAqGRjdj_RtrpNWhK5OioFylAHgk8IN/view?usp=drive_link,https://drive.google.com/file/d/1H03BmvxPfblzjrQlPB5LyrKqmZ6ITFZ1/view?usp=drive_link
7,2019,50,CBS292019P,เทคนิคการแสดงข้อมูลเชิงรูปภาพ (Data Visualization),Data Science,Online Course,Chulalongkorn Business School,อาจารย์ ดร. ภูริพันธุ์ รุจิขจร,"     เรียนรู้การทำ Data Visualization ได้อย่างง่ายๆ เริ่มด้วยการทำความเข้าใจว่าทำไมถึงต้องใช้  Data Visualization การทำความรู้จักในปัจจุบันว่ารูปแบบไหนดี และรูปไหนที่ไม่ดี รวมถึงวิธีการทำ  Data Visualization ที่ดีได้ง่ายๆ 

สิ่งที่จะได้เรียนรู้จากหลักสูตรนี้ 
1. Why Data Visualization
2. What is a good visualization
3. How to make a good data visualization
4. Common Visualizations
5. Storytelling & Narrative Visualization",ผู้ที่ต้องการศึกษา Data Visualization เบื้องต้น ในรูปแบบง่ายๆ,0:14:23,N,,https://drive.google.com/file/d/1H3lcfmWxXsDm_kTWeN-RedjaRg4oPtFg/view?usp=sharing,-,-,-
8,2019,512,CBS042018P,การบริหารการเงิน (Financial Management),Business Function,Online Course,Chulalongkorn Business School,ผู้ช่วยศาสตราจารย์ ดร.คณิสร์ แสงโชติ,     การบริหารการเงินไม่ใช่เรื่องที่ไกลตัว แต่หลายๆท่านกลับมองว่าเป็นเรื่องยาก หลักสูตรนี้จะทำให้ท่านเข้าใจเรื่องการเงินมากยิ่งขึ้น ในขั้นแรกจะกล่าวถึงวัตถุประสงค์ของการศึกษาการเงิน ความหมายของการเงินและหน้าที่ต่างๆที่ผู้บริหารต้องทำในการบริหารการเงินมีอะไรบ้าง และท่านจะได้ทราบว่าเมื่อท่านมีโอกาสในการลงทุน ท่านจะประเมินมูลค่าโครงการนั้นได้อย่างไร โดยแสดงความสัมพันธ์ระหว่างความเสี่ยงและอัตราผลตอบแทนนั้นเป็นอย่างไร แหล่งที่มาของต้นทน ธุรกิจสามารถระดุมทุนได้กี่ประเภท ข้อดีและข้อเสียของการลงทุนในแต่ละด้านเป็นอย่างไร,ผู้ที่ต้องการศึกษาเรื่องการเงิน การคำนวนมูลค่าสินทรัพย์ อัตราการเสี่ยงกับผลตอบแทนของการลงทุนแบบต่าง ๆ,0:14:23,Y,,https://drive.google.com/file/d/1bsLPPEfjsqHUG1fOWLu9wwaljNLQiWZQ/view?usp=drive_link,-,https://drive.google.com/file/d/1W1Pp9_8P2_03d0KUN0Je7fJQUwVZQIM5/view?usp=drive_link,https://drive.google.com/file/d/1W1Pp9_8P2_03d0KUN0Je7fJQUwVZQIM5/view?usp=drive_link
9,2019,340,CBS052018P,การวิเคราะห์งบการเงิน (Financial Statement Analysis),Business Function,Online Course,Chulalongkorn Business School,รองศาสตราจารย์ ดร.วรศักดิ์ ทุมมานนท์,     หลักสูตรนี้แสดงให้เห็นถึงภาพรวมของการวิเคราะห์งบการเงิน การวิเคราะห์ธุรกิจ และการวิเคราะห์นโยบายบัญชีที่กิจการต่างๆเลือกมาใช้ ซึ่งแต่ละรูปแบบก็จะมีผลของการทำบัญชีในระดับที่ไม่เหมือนกัน ที่จะทำให้ผลของการวิเคราะห์ออกมาแตกต่างกัน รวมถึงเป้าหมายทางการเงินของธุรกิจคืออะไร และประเภทของงบการเงินมีอะไรบ้าง จึงจะทำให้วิเคราะห์การเงินเป็นผลสำเร็จ การปรับงบการเงินก่อนลงมือวิเคราะห์ และวิธีการวิเคราะห์งบการเงินและสรุปผลจากการวิเคราะห์,"ผู้ที่ต้องการเข้าใจวิธีการวิเคราะห์งบการเงิน เข้าใจความหมาย และที่มาของการทำงบการเงิน
",2:50:28,Y,,https://drive.google.com/file/d/1qbPmdUSEG6EMmdVsRLZ4tJ6zOe-1GCJs/view?usp=drive_link,-,https://drive.google.com/file/d/1aLPtKOSSqlLVawgwRbs633_z3C4GXBwj/view?usp=drive_link,https://drive.google.com/file/d/1aLPtKOSSqlLVawgwRbs633_z3C4GXBwj/view?usp=drive_link
10,2019,454,CBS062018P,การทำความเข้าใจงบการเงิน (Understanding Financial Statements),Business Function,Online Course,Chulalongkorn Business School,ผู้ช่วยศาสตราจารย์ ดร.พิมพ์พนา ปิตธวัชชัย,     งบการเงินเปรียบเสมือนลายแทงที่ชี้ให้ผู้อ่านเห็นสภาพคล่องและผลการดำเนินการของธุรกิจหนึ่งๆ ได้ นอกจากนี้ งบการเงินยังเป็นข้อมูลสำคัญสำหรับนักลงทุนหรือผู้บริหารในการวางแผนกลยุทธ์ ในวิชานี้ ท่านจะได้ศึกษาพื้นฐานงบการเงินทั้ง 4 ด้าน ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และหมายเหตุประกอบงบการเงิน เนื้อหาเข้าใจง่าย เหมาะสำหรับท่านที่ไม่เคยมีพื้นฐานด้านบัญชีมาก่อน  ,"ผู้ที่ต้องการทบทวนหรือเข้าใจเรื่องงบการเงินขั้นพื้นฐาน โดยไม่จำเป็นต้องมีพื้นฐานด้านบัญชีมาก่อน
",2:43:24,Y,,https://drive.google.com/file/d/1mu_RxGtEGXgECA60T8E8NIbR5kQ8LRHk/view?usp=drive_link,-,https://drive.google.com/file/d/1M-TMkXJTI_DjYcGr0PCjG9_tl5PdOYYe/view?usp=sharing,https://drive.google.com/file/d/1M-TMkXJTI_DjYcGr0PCjG9_tl5PdOYYe/view?usp=sharing
